,90,42,43,40,46,180,190,36,130,10,20,30,172,192,14,71,112,114,140,1822,11,111,62,13,57,110,23,51,80,160,33,163,17,35,1712,173,100,120,1821,1823,12,72,61,84,25,841,170,60,73,70,125,181,50,1721,1123,141,166,91,133,54,37,311,41,31,124,213,16,32,45,22,183,203,193,150,56,253,174,122,26,113,83,1244,75,231,128,1043,874,234,182,194,63,52,353,53,1044,331,191,15,81,161,186,332,1384,18,138,233,44,27,211,1121,831,115,1056,85,1243,171,214,1711,1014,39,175,1124,871,55,833,129,132,1241,82,195,862,19,241,144,143,202,1312,1383,1053,154,151,333,863,131,1246,1122,1724,185,28,64,93,121,127,1723,86,101,145,38,842,1831,134,164,162,106,873,21,861,152,334,74,153,356,1722,232,212,139,243,312,142,102,1041,1031,105,1411,196,256,341,1622,1233,811,1832,1231,92,872,201
BRA,7.0,37.0,35.0,9.0,6.0,,9.0,21.0,,48.0,16.0,2.0,7.0,3.0,4.0,15.0,9.0,1.0,,,,,,13.0,2.0,2.0,,7.0,,9.0,,2.0,11.0,,1.0,4.0,4.0,9.0,,,5.0,,6.0,,,5.0,,16.0,,1.0,,,3.0,,,8.0,,,,,,1.0,2.0,,,,,,,,,,4.0,,,,,2.0,1.0,,,,4.0,,,,,,,,,,4.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,4.0,31.0,33.0,17.0,18.0,,9.0,21.0,1.0,43.0,4.0,4.0,1.0,,3.0,5.0,5.0,3.0,,,,18.0,,5.0,8.0,2.0,,15.0,1.0,,1.0,,4.0,,,17.0,2.0,7.0,,,3.0,,1.0,,,,,3.0,,7.0,,,,,,,,,,11.0,,1.0,,4.0,,,4.0,,,,,,5.0,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGY,6.0,89.0,88.0,92.0,42.0,,45.0,14.0,29.0,90.0,43.0,15.0,2.0,,,3.0,12.0,2.0,,1.0,3.0,38.0,,36.0,14.0,9.0,,52.0,3.0,123.0,,4.0,11.0,,,32.0,4.0,9.0,,,7.0,1.0,3.0,,2.0,4.0,,14.0,,8.0,,,10.0,,3.0,1.0,,,,,,3.0,,2.0,4.0,,5.0,,1.0,,,,14.0,,,,,,2.0,,,,3.0,,1.0,,4.0,2.0,,,,4.0,2.0,,,,,4.0,,,,,,2.0,3.0,,3.0,,,,1.0,,,,,,,,,,,,4.0,3.0,,,,,,1.0,,,2.0,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
FRA,25.0,158.0,147.0,153.0,55.0,2.0,14.0,41.0,10.0,92.0,96.0,42.0,9.0,4.0,19.0,9.0,9.0,1.0,,,1.0,73.0,9.0,18.0,72.0,32.0,1.0,45.0,15.0,13.0,1.0,,14.0,1.0,,18.0,7.0,19.0,,,52.0,1.0,7.0,55.0,16.0,21.0,,7.0,7.0,14.0,1.0,,42.0,1.0,2.0,9.0,,,,,,2.0,,,1.0,,12.0,,,,,,10.0,3.0,,36.0,2.0,,4.0,,,,,,10.0,,8.0,,1.0,,,,,,,1.0,1.0,6.0,2.0,,,,1.0,2.0,,,,5.0,,,2.0,,,,,,,,6.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,,8.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,41.0,234.0,216.0,95.0,77.0,13.0,84.0,112.0,22.0,162.0,95.0,6.0,13.0,1.0,10.0,27.0,71.0,26.0,1.0,,,27.0,,16.0,28.0,63.0,3.0,96.0,18.0,11.0,2.0,,52.0,,17.0,134.0,21.0,41.0,10.0,,54.0,2.0,7.0,45.0,2.0,22.0,,50.0,28.0,33.0,7.0,2.0,10.0,1.0,,42.0,,,,,,5.0,4.0,2.0,,,8.0,,4.0,1.0,4.0,,35.0,6.0,,,9.0,4.0,16.0,1.0,,,,1.0,8.0,,10.0,,10.0,,,,,2.0,,,4.0,,8.0,9.0,4.0,,,65.0,3.0,,,1.0,,7.0,11.0,1.0,1.0,2.0,5.0,,,,1.0,,1.0,3.0,,3.0,,,,,,1.0,1.0,,,,1.0,1.0,,,,2.0,,,,,,,,,2.0,,,,6.0,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,6.0,,,,,,,,,5.0,,4.0,,,,,,,,
IRL,18.0,136.0,119.0,54.0,42.0,3.0,12.0,43.0,3.0,39.0,53.0,7.0,14.0,3.0,5.0,13.0,17.0,5.0,,,,11.0,6.0,13.0,6.0,10.0,1.0,54.0,4.0,3.0,1.0,,15.0,1.0,,26.0,11.0,7.0,,,43.0,1.0,,5.0,,4.0,,10.0,4.0,14.0,10.0,,8.0,,,5.0,,,,,,,,2.0,,,,,1.0,3.0,4.0,,12.0,,,,5.0,,1.0,,2.0,,,5.0,4.0,,9.0,,1.0,,5.0,4.0,,3.0,,,1.0,6.0,,,5.0,,,5.0,7.0,,,,,,6.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,15.0,108.0,98.0,24.0,,,19.0,31.0,2.0,56.0,45.0,11.0,4.0,1.0,3.0,,4.0,,,,,7.0,2.0,6.0,9.0,13.0,,49.0,6.0,,2.0,1.0,7.0,,2.0,26.0,5.0,15.0,,,3.0,,15.0,3.0,4.0,6.0,,12.0,7.0,11.0,2.0,,2.0,,,1.0,,,,,,3.0,,,,,4.0,,,,,,20.0,,,1.0,3.0,,3.0,,,,,,,,2.0,,,,2.0,,1.0,,,1.0,2.0,1.0,,,3.0,1.0,,,7.0,,,,,,,,,,,1.0,,4.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
LKA,13.0,37.0,36.0,28.0,11.0,1.0,7.0,9.0,3.0,23.0,34.0,5.0,,,,14.0,7.0,11.0,,,2.0,13.0,,6.0,7.0,4.0,,15.0,9.0,2.0,,,,,,13.0,4.0,20.0,,,1.0,,3.0,4.0,,2.0,,2.0,4.0,2.0,,,2.0,,,1.0,,,,,,,,1.0,,,5.0,,1.0,12.0,,,1.0,3.0,,,,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,14.0,115.0,110.0,27.0,12.0,2.0,61.0,40.0,11.0,62.0,60.0,25.0,8.0,14.0,3.0,13.0,10.0,4.0,,2.0,1.0,21.0,,20.0,6.0,13.0,3.0,42.0,7.0,,,,2.0,3.0,1.0,52.0,5.0,14.0,2.0,,11.0,1.0,19.0,5.0,2.0,8.0,,6.0,3.0,11.0,3.0,9.0,10.0,,,5.0,,,,,,,,,,,1.0,2.0,,3.0,,1.0,13.0,,,,5.0,2.0,1.0,,,,8.0,1.0,,,1.0,,3.0,,4.0,,,,,,,2.0,1.0,,11.0,,,2.0,1.0,16.0,,,,2.0,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,1.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,
KOR,7.0,38.0,33.0,62.0,42.0,5.0,20.0,16.0,2.0,35.0,39.0,23.0,5.0,3.0,24.0,12.0,8.0,7.0,,,,23.0,14.0,12.0,30.0,27.0,1.0,6.0,10.0,1.0,9.0,10.0,,,,1.0,5.0,14.0,,,5.0,,25.0,10.0,,,,1.0,11.0,4.0,1.0,,13.0,,,4.0,,,,,,4.0,,,,,4.0,,4.0,4.0,,,1.0,16.0,,,,,6.0,,,,1.0,,,15.0,,4.0,,3.0,,,1.0,,,,,,1.0,,,,,6.0,,,,,3.0,,,,,,,2.0,,,,14.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,7.0,4.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
