,141,170,173,36,161,70,120,20,10,241,190,42,51,30,60,112,180,43,45,40,46,841,84,14,90,193,100,192,111,124,130,174,50,12,874,186,17,44,80,13,214,71,110,115,172,73,154,52,61,125,31,331,122,160,54,23,91,114,1712,15,72,150,166,18,1124,191,11,25,16,831,128,35,33,162,37,22,194,145,1053,1821,129,27,1721,138,195,62,181,1014,182,183,1832,203,311,26,164,1723,57,55,231,81,1313,140,53,213,143,234,171,175,32,83,144,332,353,134,842,1121,341,153,1312,873,75,833,1822,1241,1823,1711,1123,82,39,233,1411,56,185,41,834,1041,1231,87,871,811,139,131,1243,334,105,1056,243,163,142,151,28,1043,1724,356,74,1246,133,127,64,24,152,202,101,85,196,1383,1013,1042,1122,333,1384,1244,21,19,863,253,92,211,232,63,862,813,1044,1831,113,34,121,1311,86,861,312,126,1233,872,106,256,38
NIC,2.0,,15.0,,,,,2.0,4.0,,2.0,5.0,12.0,2.0,,3.0,,4.0,,7.0,,,,6.0,,,,,,,,3.0,1.0,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,,,6.0,10.0,,8.0,5.0,19.0,10.0,,1.0,23.0,2.0,2.0,1.0,4.0,,21.0,,8.0,6.0,,1.0,,4.0,6.0,,,3.0,,7.0,,3.0,9.0,,,1.0,,8.0,7.0,,8.0,3.0,,,,,,2.0,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,1.0,,22.0,58.0,,1.0,10.0,44.0,49.0,1.0,24.0,95.0,42.0,14.0,2.0,6.0,5.0,95.0,,44.0,29.0,,5.0,10.0,9.0,5.0,3.0,1.0,8.0,,20.0,1.0,,15.0,,,5.0,,7.0,16.0,4.0,18.0,13.0,,12.0,1.0,,,5.0,2.0,,,2.0,,,,,2.0,,4.0,,,,2.0,,,2.0,,3.0,,3.0,1.0,2.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,2.0,1.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,29.0,4.0,34.0,69.0,,15.0,78.0,88.0,135.0,2.0,46.0,141.0,81.0,17.0,19.0,24.0,2.0,128.0,2.0,102.0,37.0,18.0,12.0,4.0,8.0,15.0,21.0,12.0,36.0,,10.0,,11.0,20.0,3.0,5.0,32.0,,25.0,32.0,3.0,4.0,33.0,2.0,9.0,5.0,,,7.0,8.0,,,,3.0,,,,15.0,2.0,4.0,7.0,9.0,,8.0,1.0,5.0,,2.0,2.0,19.0,6.0,,8.0,1.0,,5.0,,,,,,,,3.0,12.0,,,1.0,1.0,,1.0,,5.0,2.0,,,34.0,,1.0,22.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,1.0,,5.0,,,2.0,,,1.0,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,
RUS,4.0,,66.0,37.0,1.0,27.0,37.0,99.0,147.0,,92.0,155.0,70.0,57.0,21.0,72.0,1.0,146.0,5.0,188.0,172.0,5.0,22.0,19.0,51.0,14.0,29.0,26.0,47.0,1.0,21.0,26.0,73.0,29.0,11.0,5.0,3.0,2.0,28.0,43.0,13.0,18.0,31.0,1.0,9.0,2.0,,,33.0,1.0,,,,9.0,,,,,3.0,34.0,,4.0,1.0,8.0,,,4.0,1.0,6.0,,1.0,4.0,3.0,,,1.0,9.0,,,,1.0,,8.0,1.0,9.0,28.0,3.0,1.0,,,,,2.0,9.0,,,34.0,2.0,,1.0,,,,3.0,,,,,,,,1.0,1.0,,,1.0,,,,,5.0,,2.0,,1.0,,,,,,,,,,,,,4.0,2.0,,,,,,,3.0,,4.0,,,,,,2.0,,,,,5.0,,,,,3.0,,,,,5.0,,6.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
VCT,,,,6.0,,,,,,,,2.0,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,4.0,,54.0,36.0,,5.0,15.0,30.0,73.0,,34.0,97.0,58.0,7.0,16.0,4.0,4.0,86.0,,82.0,27.0,,4.0,4.0,11.0,9.0,,1.0,12.0,,3.0,,3.0,19.0,2.0,,6.0,,11.0,9.0,6.0,6.0,18.0,1.0,7.0,3.0,5.0,1.0,13.0,,,,,5.0,,2.0,,1.0,,1.0,1.0,,,3.0,,,,,2.0,1.0,2.0,,1.0,,,4.0,,,,4.0,,1.0,,,,1.0,2.0,,,2.0,,3.0,1.0,5.0,,,6.0,2.0,2.0,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,,,14.0,19.0,,6.0,2.0,16.0,14.0,,,53.0,44.0,2.0,3.0,18.0,2.0,51.0,1.0,43.0,19.0,4.0,9.0,2.0,4.0,,2.0,,8.0,,,2.0,3.0,9.0,,2.0,6.0,,2.0,3.0,,5.0,1.0,,2.0,,1.0,,3.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,2.0,4.0,,,30.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,,,1.0,10.0,,2.0,3.0,13.0,21.0,,13.0,32.0,6.0,5.0,5.0,,,32.0,,2.0,3.0,,,,,1.0,,,4.0,,,,7.0,2.0,,,1.0,,5.0,1.0,1.0,,1.0,,1.0,,,,2.0,,,,,4.0,,1.0,,,,,,,8.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAF,,,11.0,15.0,,,7.0,5.0,13.0,,12.0,23.0,13.0,,5.0,2.0,,20.0,,18.0,6.0,,,,3.0,1.0,,,3.0,,2.0,,5.0,5.0,2.0,,3.0,,7.0,4.0,,,5.0,,1.0,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,2.0,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,,,8.0,,,,,5.0,12.0,,6.0,7.0,11.0,,,,,8.0,,,8.0,1.0,2.0,1.0,,2.0,1.0,,2.0,,,,,,,,1.0,,2.0,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
