,172,84,42,14,173,193,43,10,57,81,130,214,71,51,40,1721,190,46,874,111,124,36,20,112,180,45,60,100,114,30,73,141,128,23,841,12,80,50,17,90,110,1124,192,120,15,145,233,1712,16,13,160,70,231,41,1821,64,353,175,33,181,11,153,122,26,831,1043,151,25,27,171,18,186,144,234,143,83,194,195,833,131,142,241,140,19,163,138,31,1243,1383,139,203,75,1053,22,54,1823,311,1123,52,134,191,152,1711,182,161,55,150,1831,72,61,1044,125,162,213,174,1384,842,356,44,133,332,63,105,331,253,28,1246,154,37,164,127,1056,82,113,211,115,56,1723,129,333,170,1014,35,1121,1822,91,32,74,62,1233,183,1312,1041,1241,1411,166,813,123,871,202,334,811,1244,87,312,53,1013,1122,39,1621,1722,102,256,21,1724,85,106,34,862,101,86,94,121,834,38,24,861,872,1311,873,1313,1125,254,232,196,137
BGR,,,9.0,1.0,2.0,,8.0,1.0,2.0,,,,,9.0,13.0,,,2.0,,,,,2.0,3.0,,,2.0,,,2.0,,3.0,,,,,,28.0,3.0,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,,,39.0,1.0,4.0,6.0,38.0,31.0,4.0,,5.0,2.0,,28.0,15.0,,6.0,8.0,,16.0,,22.0,15.0,6.0,,,6.0,4.0,2.0,16.0,,,,,,6.0,2.0,7.0,3.0,3.0,8.0,,,8.0,,,,,,3.0,,,,4.0,2.0,,,,,,,,,6.0,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,11.0,5.0,,1.0,,1.0,,,,1.0,2.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,2.0,1.0,33.0,,7.0,,31.0,11.0,2.0,,,,,3.0,31.0,,4.0,2.0,,2.0,,15.0,10.0,2.0,,,,,,,,,,,,4.0,,,,2.0,1.0,,,,,,,,3.0,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,,,30.0,,,,31.0,6.0,2.0,,,,,,12.0,,6.0,4.0,,,,33.0,4.0,,,,5.0,5.0,2.0,,,,,,,3.0,3.0,,,,1.0,,,1.0,,,,,,,,2.0,,,,1.0,,,,,2.0,,,,,,,,,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
CUB,3.0,2.0,44.0,,13.0,,38.0,10.0,4.0,,1.0,,,18.0,12.0,,13.0,8.0,,,,,22.0,13.0,2.0,,5.0,,,,4.0,1.0,,,13.0,4.0,1.0,15.0,,12.0,2.0,,,,,,,,,2.0,5.0,,,,,2.0,,,,18.0,,,,,,1.0,,,,,,,,,,,,,,5.0,,,,,5.0,,,6.0,,,,2.0,,6.0,,,,,,,,,,5.0,,1.0,2.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,11.0,,123.0,7.0,19.0,4.0,108.0,92.0,32.0,7.0,15.0,,17.0,77.0,93.0,,65.0,53.0,2.0,19.0,1.0,78.0,83.0,21.0,2.0,,13.0,9.0,8.0,35.0,9.0,9.0,1.0,1.0,6.0,12.0,23.0,17.0,8.0,23.0,11.0,,7.0,29.0,2.0,4.0,,1.0,,29.0,2.0,4.0,1.0,,,,2.0,2.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,3.0,3.0,,,,5.0,2.0,,1.0,2.0,1.0,,,,,2.0,,5.0,,,,,,,8.0,,,,,,,,6.0,11.0,,2.0,,,,,,,2.0,,,,,1.0,,,,2.0,,,,,,,,,3.0,,,,6.0,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGY,4.0,13.0,98.0,13.0,15.0,13.0,90.0,60.0,32.0,3.0,19.0,,14.0,61.0,226.0,,54.0,82.0,2.0,13.0,4.0,49.0,44.0,22.0,3.0,3.0,24.0,4.0,4.0,12.0,1.0,3.0,1.0,,2.0,12.0,6.0,2.0,,4.0,9.0,,2.0,9.0,5.0,1.0,,,1.0,11.0,,7.0,,,3.0,,,,,,2.0,,,1.0,6.0,,,,,,5.0,8.0,,,1.0,,,,,,,,,,2.0,3.0,8.0,,,,,2.0,,4.0,,,3.0,6.0,1.0,,,,,4.0,,,,2.0,2.0,9.0,,,,,3.0,,,,14.0,,,,,2.0,,,,,,,4.0,,,2.0,,,,,,,,,,,,,2.0,,6.0,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,4.0,3.0,21.0,15.0,3.0,1.0,16.0,37.0,2.0,,1.0,,1.0,22.0,2.0,,4.0,6.0,,2.0,,5.0,22.0,5.0,,,3.0,2.0,3.0,4.0,,,1.0,,,5.0,2.0,6.0,1.0,,15.0,,,8.0,,,,,,9.0,2.0,3.0,,,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,6.0,8.0,206.0,6.0,40.0,6.0,191.0,71.0,34.0,,16.0,,11.0,71.0,115.0,1.0,38.0,96.0,2.0,24.0,,75.0,113.0,29.0,5.0,4.0,25.0,25.0,4.0,52.0,5.0,22.0,1.0,,7.0,8.0,10.0,18.0,15.0,9.0,29.0,,,21.0,1.0,2.0,1.0,1.0,2.0,21.0,4.0,17.0,,4.0,3.0,,,4.0,4.0,3.0,1.0,,,7.0,6.0,1.0,,4.0,,,1.0,6.0,,,,,,,,,,4.0,3.0,8.0,1.0,2.0,4.0,,,,,,,6.0,,1.0,2.0,,3.0,,,,,,,6.0,,,3.0,12.0,,2.0,,,3.0,,,,2.0,,,,,,,,,,7.0,4.0,,4.0,,,,,,1.0,,4.0,,,,,2.0,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,
GBR,30.0,33.0,510.0,48.0,378.0,68.0,479.0,377.0,16.0,12.0,42.0,7.0,52.0,284.0,324.0,1.0,229.0,192.0,19.0,78.0,8.0,261.0,274.0,115.0,38.0,2.0,60.0,56.0,12.0,52.0,20.0,42.0,48.0,1.0,28.0,102.0,89.0,60.0,51.0,81.0,87.0,11.0,35.0,92.0,13.0,,50.0,,12.0,127.0,7.0,25.0,3.0,,47.0,4.0,2.0,8.0,2.0,5.0,8.0,2.0,4.0,12.0,12.0,1.0,3.0,6.0,,,20.0,2.0,,,7.0,1.0,2.0,3.0,,5.0,,2.0,7.0,,4.0,11.0,10.0,3.0,6.0,3.0,,23.0,,8.0,1.0,2.0,11.0,2.0,6.0,1.0,23.0,,,12.0,11.0,20.0,,1.0,,32.0,,6.0,,13.0,34.0,,1.0,1.0,,,1.0,4.0,,1.0,1.0,3.0,4.0,1.0,,3.0,,1.0,1.0,2.0,,2.0,6.0,,,,4.0,3.0,4.0,1.0,2.0,,1.0,,11.0,,1.0,12.0,,,,,,,,12.0,,,,,1.0,4.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,
