,13,173,20,43,190,17,40,42,16,12,1721,30,192,36,100,10,311,61,141,874,130,151,110,194,46,50,160,841,211,63,57,51,90,18,62,170,73,120,54,111,129,172,45,52,161,31,71,133,163,84,70,60,112,81,35,331,138,1821,25,80,11,1822,186,150,72,26,114,1014,14,193,44,128,154,181,234,174,139,1712,32,175,1411,75,182,256,214,1312,143,145,1044,180,842,23,15,332,164,831,1243,1123,1121,333,873,124,125,131,191,140,1241,115,101,94,202,1823,21,27,353,56,171,834,231,41,33,55,1043,1124,233,142,871,64,1122,166,813,86,1053,1711,152,22,153,53,91,83,833,134,232,1233,356,195,19,85,253,24,162,123,241,74,127,1056,37,1246,1013,113,28,82,1832,1722,312,92,144,203,1723,121,1384,1831,38,1724,183,122,34,196,1031,334,106,1041,213,1412,87,255,201,863,1311,1383,862,93,1661
IND,32.0,109.0,86.0,150.0,66.0,18.0,117.0,167.0,3.0,19.0,3.0,16.0,6.0,104.0,21.0,140.0,,1.0,232.0,5.0,27.0,,32.0,,45.0,2.0,16.0,7.0,,,4.0,58.0,42.0,,,9.0,17.0,47.0,,78.0,,19.0,,,4.0,8.0,12.0,3.0,,17.0,10.0,13.0,47.0,2.0,1.0,,2.0,14.0,8.0,23.0,4.0,2.0,,6.0,,18.0,21.0,7.0,9.0,44.0,1.0,13.0,,5.0,,3.0,,1.0,,11.0,,,12.0,,2.0,2.0,4.0,17.0,,13.0,2.0,2.0,4.0,,4.0,3.0,,,,,2.0,,1.0,,4.0,14.0,,3.0,,,2.0,1.0,,2.0,,,,,,,2.0,,4.0,,,,,,2.0,,2.0,,3.0,,,,2.0,,4.0,4.0,1.0,,,1.0,,3.0,,,,,,,,,,1.0,,2.0,,,,,1.0,,,,,,7.0,,,,,,,,,1.0,,,,2.0,,2.0,,,,,,,,,
KAZ,2.0,2.0,2.0,7.0,7.0,1.0,4.0,12.0,,2.0,,18.0,,14.0,,17.0,,5.0,,,,,,,7.0,,3.0,1.0,,,6.0,8.0,6.0,16.0,,,1.0,,,,,1.0,,,,,,,,,2.0,2.0,,,,,,,,1.0,,,,,,1.0,3.0,1.0,,3.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,,3.0,2.0,7.0,,,17.0,6.0,,,,4.0,,,,9.0,,,,,,,,,,,,,,,2.0,1.0,6.0,,,,4.0,2.0,,1.0,,,,,1.0,,1.0,,,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,,,,2.0,,,,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,4.0,4.0,10.0,10.0,1.0,2.0,33.0,11.0,,5.0,,7.0,,4.0,,3.0,2.0,4.0,1.0,,,,3.0,,,1.0,,,,,3.0,4.0,1.0,,,,,4.0,,1.0,,,,,,2.0,10.0,,,1.0,2.0,1.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN,,,,8.0,2.0,,4.0,8.0,,,,1.0,,2.0,,2.0,,,,,,,1.0,,6.0,,,,,,,1.0,3.0,,,,,,,,,,,,,,5.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER,5.0,14.0,6.0,9.0,2.0,,7.0,7.0,4.0,,,,,8.0,3.0,12.0,,,,,,,,,5.0,,2.0,,,,2.0,13.0,,,,,,6.0,,1.0,,7.0,,,,,,,,,,5.0,1.0,,,,,,,5.0,1.0,,,,,,,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,5.0,22.0,56.0,56.0,4.0,10.0,20.0,66.0,,9.0,2.0,7.0,1.0,24.0,3.0,55.0,2.0,5.0,3.0,7.0,,,13.0,2.0,21.0,8.0,4.0,5.0,,,8.0,76.0,26.0,1.0,,1.0,1.0,8.0,,29.0,2.0,29.0,,1.0,,,4.0,,,7.0,15.0,10.0,11.0,1.0,,,,,,16.0,,,1.0,,8.0,1.0,4.0,9.0,6.0,6.0,,5.0,,,,,,4.0,,,,,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
POL,9.0,3.0,11.0,9.0,25.0,,38.0,9.0,,1.0,,,2.0,6.0,2.0,30.0,,,2.0,,2.0,,3.0,,12.0,,,2.0,,2.0,4.0,13.0,2.0,,,,1.0,6.0,,1.0,,2.0,,,,,1.0,,,,3.0,3.0,8.0,,,,,,,22.0,2.0,,,4.0,,6.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
RUS,36.0,52.0,75.0,148.0,136.0,12.0,182.0,169.0,10.0,30.0,,126.0,4.0,83.0,17.0,240.0,5.0,41.0,28.0,9.0,35.0,2.0,25.0,5.0,174.0,79.0,10.0,47.0,,,100.0,104.0,45.0,19.0,80.0,,8.0,36.0,,56.0,17.0,28.0,2.0,10.0,21.0,9.0,6.0,,22.0,19.0,14.0,29.0,60.0,3.0,2.0,,6.0,,,29.0,,2.0,3.0,30.0,9.0,8.0,7.0,,10.0,21.0,6.0,1.0,9.0,1.0,,5.0,2.0,6.0,3.0,,,,2.0,,5.0,,,,3.0,26.0,1.0,,2.0,,,1.0,,1.0,,,,9.0,,1.0,,,,2.0,,,,,1.0,,9.0,,,,1.0,2.0,11.0,5.0,,,7.0,,1.0,2.0,1.0,,,,,,,2.0,,1.0,,,,,,,1.0,5.0,,,,,2.0,,,4.0,,,,,,,,,,,4.0,3.0,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,1.0,,,,,4.0,
