,873,15,46,130,61,83,1122,1822,20,190,161,1124,42,43,111,51,141,40,173,180,36,90,100,163,110,26,70,71,10,17,31,84,112,194,57,22,164,14,16,120,13,193,874,81,50,30,114,60,41,841,128,144,12,80,181,192,62,172,56,11,37,52,171,73,75,214,33,35,332,1723,231,160,842,831,871,1711,195,1831,834,131,1123,115,25,182,18,23,72,241,64,1043,129,145,154,1121,138,143,833,1821,55,124,311,151,125,1712,234,174,186,166,356,45,1241,139,353,140,19,170,191,53,85,121,93,28,331,44,27,106,1014,213,1243,113,183,1621,1312,134,1384,91,150,32,211,233,203,1721,256,142,1053,162,1724,153,133,1044,1722,1823,253,21,333,152,185,101,122,39,1246,232,127,1383,202,1031,54,175,86,105,243,1041,82,63,1056,862,1832,1233,1411,34,87,196,74,1054,312,1623,242,334,344,116,201,251,92,102,1311,872,24,1313
BRA,,,12.0,2.0,25.0,,,,14.0,8.0,5.0,,34.0,33.0,2.0,35.0,1.0,18.0,10.0,,26.0,10.0,7.0,,1.0,,5.0,10.0,33.0,,,5.0,5.0,,,,,2.0,,14.0,1.0,1.0,1.0,,2.0,2.0,1.0,2.0,,,,,2.0,26.0,,,,4.0,,,,4.0,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,2.0,,2.0,,1.0,,,,,,,,,3.0,,1.0,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,,6.0,53.0,39.0,71.0,,,,149.0,95.0,5.0,2.0,225.0,216.0,34.0,138.0,14.0,195.0,59.0,16.0,93.0,55.0,18.0,8.0,27.0,7.0,33.0,55.0,233.0,14.0,11.0,21.0,46.0,,7.0,,,18.0,,28.0,40.0,36.0,8.0,6.0,28.0,41.0,12.0,40.0,6.0,13.0,7.0,,35.0,19.0,5.0,4.0,3.0,21.0,2.0,3.0,,,,11.0,7.0,12.0,9.0,2.0,5.0,,4.0,22.0,,5.0,,,,,,2.0,1.0,4.0,,1.0,,8.0,8.0,,,,,1.0,6.0,,5.0,,4.0,,8.0,3.0,2.0,,1.0,1.0,,,,,,5.0,,,3.0,9.0,,,,2.0,,,,,3.0,1.0,,,7.0,,,4.0,,,,2.0,,,,,,,,2.0,,,,,1.0,,,,,14.0,,4.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,,,,,,,,,,,,,4.0,3.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,,3.0,36.0,16.0,7.0,,,,58.0,59.0,7.0,,106.0,100.0,34.0,58.0,12.0,117.0,38.0,5.0,18.0,24.0,11.0,1.0,16.0,6.0,9.0,21.0,119.0,5.0,2.0,5.0,19.0,2.0,82.0,,1.0,12.0,12.0,17.0,23.0,8.0,5.0,,7.0,24.0,5.0,5.0,,11.0,1.0,,14.0,21.0,,6.0,6.0,7.0,,3.0,,,,13.0,,,,1.0,,,1.0,6.0,,,,3.0,2.0,,,1.0,,,2.0,,,,2.0,,2.0,2.0,,1.0,,,,,1.0,1.0,4.0,,1.0,,4.0,,,1.0,4.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,2.0,,2.0,,,,,1.0,,,,,2.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,5.0,,,,1.0,,,,,,,,,,,,1.0,
ECU,,,,,4.0,,,,1.0,4.0,,,10.0,10.0,,9.0,,3.0,18.0,,6.0,,2.0,,3.0,,1.0,,7.0,,,2.0,11.0,,,,,,,,2.0,,,,2.0,2.0,,4.0,,,1.0,,,2.0,,,,,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGY,,1.0,8.0,2.0,8.0,,,,32.0,12.0,1.0,1.0,34.0,30.0,27.0,41.0,5.0,25.0,26.0,8.0,15.0,15.0,11.0,,6.0,,,5.0,35.0,5.0,,9.0,6.0,2.0,6.0,8.0,,,,4.0,14.0,8.0,,,16.0,8.0,2.0,4.0,2.0,,,,2.0,6.0,,,,,,,,,,1.0,,,,,,,,1.0,,3.0,,1.0,3.0,,,,,,,2.0,1.0,,,,,,,1.0,,,,,1.0,2.0,,,3.0,,,,,,2.0,,2.0,8.0,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,
ESP,,2.0,21.0,2.0,,,,,32.0,16.0,,,60.0,50.0,6.0,21.0,4.0,33.0,39.0,2.0,37.0,11.0,7.0,,1.0,,8.0,2.0,36.0,5.0,,6.0,4.0,,22.0,,,7.0,5.0,8.0,15.0,5.0,3.0,3.0,,11.0,3.0,14.0,,2.0,,,7.0,14.0,,5.0,,3.0,1.0,,,2.0,,3.0,4.0,,5.0,,,3.0,,,,,1.0,,,,,,,,,4.0,,,5.0,,,,,,,,3.0,,1.0,1.0,7.0,,2.0,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,,4.0,44.0,29.0,34.0,,,,77.0,28.0,3.0,,100.0,90.0,31.0,88.0,14.0,79.0,12.0,1.0,54.0,17.0,31.0,6.0,15.0,4.0,9.0,35.0,70.0,6.0,5.0,5.0,7.0,3.0,13.0,3.0,,5.0,,23.0,8.0,2.0,1.0,,17.0,45.0,5.0,13.0,,1.0,1.0,,30.0,14.0,,7.0,5.0,16.0,,2.0,,,,4.0,8.0,3.0,2.0,1.0,,,1.0,16.0,,8.0,,,,,,,,1.0,1.0,,1.0,1.0,,4.0,2.0,,,1.0,,,5.0,,,2.0,2.0,,,,,,,1.0,,,,,2.0,1.0,,,,,,5.0,2.0,2.0,,,1.0,,,,1.0,,,,,,5.0,,,,2.0,1.0,,1.0,,,3.0,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
FIN,,,2.0,1.0,5.0,,,,2.0,4.0,2.0,,8.0,7.0,6.0,3.0,2.0,25.0,,,11.0,4.0,,,,8.0,1.0,,12.0,,,2.0,,,7.0,,,,,6.0,2.0,4.0,,,,6.0,,,4.0,,,,2.0,2.0,,,,,,,,,,,,,1.0,,5.0,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,,3.0,71.0,29.0,7.0,,,,88.0,203.0,4.0,2.0,447.0,437.0,44.0,202.0,11.0,187.0,35.0,1.0,124.0,21.0,11.0,,22.0,2.0,14.0,5.0,179.0,25.0,,21.0,9.0,,103.0,,,5.0,1.0,23.0,35.0,25.0,12.0,1.0,22.0,17.0,12.0,17.0,10.0,119.0,,,49.0,14.0,30.0,8.0,20.0,3.0,,4.0,,2.0,,117.0,,,1.0,1.0,,,2.0,22.0,3.0,4.0,,,,,,,,,,2.0,47.0,2.0,50.0,,,,,6.0,46.0,,6.0,3.0,,,,3.0,6.0,,3.0,8.0,,,,,,,1.0,7.0,5.0,2.0,1.0,,1.0,3.0,,,,2.0,1.0,,,,,,,,,,2.0,,,,,,,,,2.0,2.0,,,,,8.0,,,,,,,,,,,,,,,1.0,,,,,10.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
